"Y" "X1" "X2" "X3" "X4" "W"
190.16 121.3 25.72 10.76 87.6 "A"
197.27 116.68 31.46 7.93 89.88 "C"
207.59 127.13 29.86 8.54 92.9 "C"
208.01 124.96 31.7 11.92 94.29 "A"
196.95 119.88 28.83 10.21 88.76 "B"
188.89 111.54 29.63 10.71 84.98 "C"
201.35 123.25 29.55 10.61 91.26 "B"
196.34 117.88 30.55 7.04 89.5 "B"
200.42 120.69 29.76 9.54 88.96 "B"
198.44 116.32 31.71 9.25 90.06 "B"
200.41 116.59 31.54 10.14 89.66 "B"
210.66 129.06 30.29 10.63 94.23 "B"
199.49 122.88 28.32 10.04 89.49 "C"
191.06 116.54 28.68 8.97 86.75 "A"
207.71 121.14 31.98 11.69 92.79 "C"
193.07 119.58 26.21 10.24 85.47 "A"
203.98 117.23 32.69 11.8 91.57 "A"
197.16 121.56 26.07 12.95 87.46 "C"
194.16 120.36 26.78 9.83 87.2 "B"
198.39 118.8 29.38 8.94 88.91 "A"
195.16 126.22 25.69 10.88 88.23 "A"
199.71 121.59 29.52 9.43 89.45 "A"
209.8 118.59 33.28 9.99 91.85 "B"
207.53 119.71 33.25 9.5 93.01 "B"
198.68 117.91 30.07 8.92 89.04 "A"
190.54 121.01 26.54 7.31 86.13 "C"
203.22 122.68 30.49 8.98 91.33 "B"
208.52 124.87 31.13 8.74 92.57 "C"
191.24 116.76 26.77 9.61 85.36 "C"
198.96 119.09 30.82 9.86 90.45 "A"
198.04 115.33 31.19 9.47 88.84 "B"
195.08 114.36 29.59 10.79 87.52 "A"
201.19 121.74 29.1 11.2 89.95 "B"
202.79 120.1 31.72 10.79 91.71 "C"
205.64 124.74 29.42 10.04 91.96 "C"
201.21 122.23 30.61 10.38 91.22 "C"
205.63 120.18 31.9 9.01 92.25 "B"
201.84 115.6 31.62 11.26 89.91 "A"
194.01 115.28 28.27 10.97 86.45 "B"
206.45 123.94 29.64 10.82 91.3 "A"
200.16 120.66 29.4 9.85 89.86 "A"
205.98 126.28 29.89 10.42 91.81 "A"
201.75 120.54 31.54 11.16 92.47 "C"
199.02 115.74 30.56 9.85 88.19 "C"
200.31 128.36 24.83 10.21 88.99 "B"
198.65 120.07 29.26 10.1 89.14 "A"
202.45 121.34 30.28 11.08 90.53 "A"
206.35 124.42 31.36 8.61 92.99 "C"
193.38 118.73 28.6 12.12 88.3 "C"
197.64 119.32 29.54 9.4 89 "A"
195.32 118.81 28.34 10.59 87.44 "A"
188.38 115.86 26.47 10.01 84.42 "A"
210.74 124.24 33.73 10.87 95.93 "C"
196.41 119.68 27.2 9.59 86.58 "A"
207.36 122.77 33.54 10.16 95.17 "A"
194.97 117.99 28.22 11.17 87.09 "A"
188.24 116.91 25.23 10.75 83.74 "B"
189.35 114.15 28.11 11.92 85.18 "C"
202.54 119.65 30.91 10.47 91.15 "A"
197.95 117.47 29.62 9.6 87.74 "C"
199.23 116.63 31.9 9.6 91.12 "B"
192.41 111.47 30.76 8.91 85.45 "C"
190.3 115.08 28.5 11.05 85.61 "A"
192.71 118.38 26.87 10.11 85.73 "C"
206.13 122.08 31.47 9.72 93.44 "B"
203.53 119.76 30.48 11.81 90.72 "B"
199.45 121.55 29.76 9.58 90.57 "A"
201.53 117.04 31.44 9.97 89.89 "B"
207.22 122.7 31.01 10.42 93.52 "A"
203.42 122.13 29.97 10.52 91.71 "B"
196.2 113.89 32.15 9.77 89.76 "B"
192.4 117.97 27.66 10.39 86.93 "A"
205.38 125.72 30.04 8.12 92.17 "B"
191.9 115.25 29.42 11.57 86.36 "C"
208.07 126.99 28.63 10.23 92.36 "B"
212.21 127.08 33.22 10.49 97.26 "B"
203.61 119.98 29.56 9.49 89.5 "B"
196.69 117.17 27.13 10.14 85.39 "A"
207.07 122.4 31.16 11.9 91.93 "C"
205.94 124.75 30.23 10.69 92.66 "C"
197.83 118.01 29.92 11.38 89.16 "C"
200.3 120.43 29.66 10.76 89.59 "C"
208.98 123.45 31.04 10.61 92.78 "A"
202.72 122.03 29.45 8.78 91.23 "C"
196.07 118.12 28.76 10.63 87.43 "A"
195.37 119.25 29.12 9.53 88.63 "A"
187.75 115.61 26 12.06 83.8 "A"
210.63 122.27 33.39 9.71 94.42 "B"
196.36 121.5 25.47 10.9 85.84 "B"
202.64 124.72 29.48 10.2 91.91 "A"
203.35 117.95 32.92 10.6 91.69 "A"
205.64 129.21 28.94 10.67 94.33 "A"
192.62 117.63 27.95 8.52 86.06 "C"
206.76 123.3 31.92 9.59 93.65 "B"
202.24 122.7 31.1 9.39 91.78 "B"
201.35 123.76 28.02 10.2 89.74 "B"
204.01 119.45 32.06 12.03 91.91 "A"
201.76 121.05 28.64 10.34 89.18 "B"
