"loss" "workout" "diet"
320 "W3" "D1"
304 "W1" "D2"
457 "W2" "D3"
426 "W3" "D3"
621 "W2" "D4"
399 "W3" "D3"
429 "W3" "D3"
276 "W3" "D1"
609 "W3" "D4"
382 "W3" "D2"
324 "W2" "D1"
634 "W3" "D4"
388 "W2" "D3"
574 "W2" "D4"
494 "W1" "D3"
324 "W3" "D1"
287 "W2" "D2"
275 "W3" "D1"
412 "W2" "D3"
324 "W3" "D1"
419 "W3" "D2"
310 "W2" "D2"
231 "W2" "D2"
259 "W1" "D2"
429 "W1" "D3"
437 "W1" "D3"
270 "W1" "D2"
273 "W2" "D2"
350 "W1" "D1"
299 "W2" "D2"
294 "W1" "D1"
628 "W2" "D4"
250 "W1" "D2"
417 "W3" "D3"
416 "W2" "D3"
440 "W2" "D3"
591 "W2" "D4"
398 "W1" "D3"
345 "W1" "D1"
296 "W2" "D2"
591 "W3" "D4"
631 "W2" "D4"
384 "W3" "D2"
473 "W2" "D3"
244 "W3" "D1"
406 "W3" "D3"
346 "W1" "D1"
397 "W2" "D1"
311 "W3" "D1"
603 "W2" "D4"
452 "W2" "D3"
360 "W1" "D1"
613 "W1" "D4"
303 "W1" "D2"
341 "W1" "D1"
647 "W1" "D4"
645 "W2" "D4"
353 "W1" "D1"
300 "W1" "D2"
357 "W3" "D2"
430 "W3" "D3"
633 "W2" "D4"
283 "W2" "D1"
289 "W2" "D1"
338 "W1" "D2"
562 "W3" "D4"
298 "W2" "D1"
585 "W1" "D4"
585 "W3" "D4"
593 "W2" "D4"
325 "W2" "D1"
272 "W2" "D2"
279 "W3" "D1"
456 "W3" "D3"
387 "W3" "D2"
599 "W2" "D4"
290 "W1" "D2"
299 "W3" "D1"
470 "W1" "D3"
441 "W3" "D2"
292 "W1" "D1"
638 "W1" "D4"
477 "W3" "D3"
437 "W3" "D3"
614 "W3" "D4"
585 "W2" "D4"
293 "W1" "D2"
254 "W2" "D2"
397 "W3" "D2"
643 "W2" "D4"
418 "W2" "D3"
283 "W2" "D2"
569 "W2" "D4"
445 "W3" "D3"
614 "W1" "D4"
347 "W3" "D2"
686 "W1" "D4"
636 "W1" "D4"
591 "W2" "D4"
426 "W2" "D3"
565 "W2" "D4"
463 "W2" "D3"
442 "W1" "D3"
610 "W3" "D4"
389 "W3" "D2"
289 "W3" "D1"
326 "W1" "D1"
575 "W3" "D4"
591 "W3" "D4"
278 "W3" "D1"
354 "W1" "D2"
306 "W2" "D1"
587 "W2" "D4"
617 "W1" "D4"
435 "W3" "D3"
565 "W3" "D4"
642 "W1" "D4"
632 "W1" "D4"
285 "W1" "D2"
464 "W3" "D3"
299 "W1" "D1"
275 "W2" "D2"
604 "W2" "D4"
584 "W3" "D4"
375 "W1" "D1"
311 "W2" "D2"
297 "W1" "D2"
427 "W3" "D3"
412 "W3" "D3"
324 "W2" "D1"
381 "W3" "D2"
346 "W3" "D2"
615 "W2" "D4"
585 "W2" "D4"
610 "W1" "D4"
270 "W3" "D1"
485 "W1" "D3"
428 "W2" "D3"
332 "W2" "D1"
392 "W1" "D1"
289 "W3" "D1"
291 "W1" "D2"
274 "W2" "D1"
635 "W1" "D4"
616 "W3" "D4"
288 "W1" "D2"
294 "W3" "D1"
315 "W1" "D1"
302 "W1" "D2"
295 "W2" "D2"
699 "W1" "D4"
299 "W2" "D1"
416 "W3" "D2"
306 "W1" "D1"
309 "W2" "D1"
306 "W1" "D2"
423 "W3" "D3"
293 "W2" "D2"
320 "W2" "D2"
583 "W1" "D4"
604 "W1" "D4"
307 "W1" "D2"
322 "W3" "D1"
300 "W3" "D1"
453 "W2" "D3"
460 "W2" "D3"
260 "W2" "D1"
420 "W3" "D2"
334 "W1" "D1"
291 "W3" "D1"
349 "W3" "D2"
459 "W2" "D3"
271 "W2" "D2"
323 "W2" "D2"
249 "W3" "D1"
313 "W2" "D1"
274 "W3" "D1"
588 "W2" "D4"
278 "W1" "D2"
337 "W1" "D2"
535 "W3" "D4"
248 "W2" "D2"
406 "W3" "D2"
647 "W1" "D4"
611 "W3" "D4"
302 "W2" "D1"
607 "W1" "D4"
621 "W2" "D4"
339 "W1" "D1"
348 "W3" "D2"
286 "W1" "D2"
621 "W2" "D4"
550 "W3" "D4"
603 "W2" "D4"
282 "W3" "D1"
562 "W3" "D4"
319 "W2" "D1"
299 "W1" "D2"
418 "W2" "D3"
627 "W2" "D4"
309 "W1" "D1"
585 "W1" "D4"
299 "W1" "D1"
351 "W1" "D1"
631 "W2" "D4"
269 "W2" "D2"
312 "W1" "D1"
404 "W3" "D3"
421 "W3" "D3"
271 "W3" "D1"
279 "W1" "D2"
305 "W1" "D1"
602 "W1" "D4"
591 "W3" "D4"
382 "W3" "D2"
373 "W2" "D3"
258 "W2" "D1"
591 "W3" "D4"
599 "W2" "D4"
287 "W3" "D1"
286 "W1" "D1"
602 "W1" "D4"
586 "W2" "D4"
638 "W1" "D4"
289 "W1" "D2"
600 "W2" "D4"
451 "W1" "D3"
423 "W3" "D3"
326 "W2" "D1"
478 "W2" "D3"
478 "W2" "D3"
449 "W3" "D3"
321 "W3" "D1"
453 "W2" "D3"
402 "W3" "D2"
399 "W2" "D3"
603 "W3" "D4"
321 "W3" "D1"
258 "W1" "D2"
279 "W2" "D2"
